"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","Trade Value"
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes",31508,"Ground Nut Oil",7197.860103129849
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes",31509,"Pure Olive Oil",6675639.862784356
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes",31510,"Olive Oil",1044612.5787682472
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes",31511,"Palm Oil",1654874.0675686756
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes",31512,"Seed Oils",85403213.1839705
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes",31513,"Coconut Oil",2408421.662606545
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes",31514,"Rapeseed Oil",230865235.44197008
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes",31515,"Other Pure Vegetable Oils",5324022.594962766
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes",31516,"Other Vegetable Oils",2395607.3779731523
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes",31517,"Margarine",6353660.587553974
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes",31518,"Inedible Fats and Oils",14916129.426355481
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes",31519,"Stearic Acid",18278266.35490845
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes",31520,"Glycerol",18813787.428772595
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes",31521,"Waxes",706618.7816285925
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes",31522,"Fat and Oil Residues",717766.0245155409
4,"Foodstuffs",416,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",41601,"Sausages",92457681.33020167
4,"Foodstuffs",416,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",41602,"Other Prepared Meat",126222903.39934625
4,"Foodstuffs",416,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",41603,"Animal Extracts",2282880.8148938036
4,"Foodstuffs",416,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",41604,"Processed Fish",29700526.623756856
4,"Foodstuffs",416,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",41605,"Processed Crustaceans",3861632.124865037
4,"Foodstuffs",417,"Sugars and sugar confectionery",41701,"Raw Sugar",154827644.32155463
4,"Foodstuffs",417,"Sugars and sugar confectionery",41702,"Other Sugars",14556603.476556655
4,"Foodstuffs",417,"Sugars and sugar confectionery",41703,"Molasses",1546149.9179801934
4,"Foodstuffs",417,"Sugars and sugar confectionery",41704,"Confectionery Sugar",188054142.41107854
4,"Foodstuffs",418,"Cocoa and cocoa preparations",41801,"Cocoa Beans",180988.10484015546
4,"Foodstuffs",418,"Cocoa and cocoa preparations",41802,"Cocoa Shells",4644.803726785591
4,"Foodstuffs",418,"Cocoa and cocoa preparations",41803,"Cocoa Paste",233076.7828492608
4,"Foodstuffs",418,"Cocoa and cocoa preparations",41804,"Cocoa Butter",133606.86091023573
4,"Foodstuffs",418,"Cocoa and cocoa preparations",41805,"Cocoa Powder",2359923.9903074703
4,"Foodstuffs",418,"Cocoa and cocoa preparations",41806,"Chocolate",288330251.1975308
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk; pastrycooks' products",41901,"Malt Extract",74635808.01545033
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk; pastrycooks' products",41902,"Pasta",37995804.915695295
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk; pastrycooks' products",41903,"Tapioca",14343.853088712802
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk; pastrycooks' products",41904,"Prepared Cereals",90183817.70647265
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk; pastrycooks' products",41905,"Baked Goods",483856801.58916676
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other parts of plants",42001,"Pickled Foods",11827083.92615782
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other parts of plants",42002,"Processed Tomatoes",5501016.428097252
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other parts of plants",42003,"Processed Mushrooms",1435328.7580027217
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other parts of plants",42004,"Other Frozen Vegetables",10269100.030456178
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other parts of plants",42005,"Other Processed Vegetables",44195240.391116135
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other parts of plants",42006,"Sugar Preserved Foods",916600.9952730825
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other parts of plants",42007,"Jams",42705801.50703418
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other parts of plants",42008,"Other Processed Fruits and Nuts",46950310.55709836
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other parts of plants",42009,"Fruit Juice",17163937.88147898
4,"Foodstuffs",421,"Miscellaneous edible preparations",42101,"Coffee and Tea Extracts",153187729.6646517
4,"Foodstuffs",421,"Miscellaneous edible preparations",42102,"Yeast",11698423.714761095
4,"Foodstuffs",421,"Miscellaneous edible preparations",42103,"Sauces and Seasonings",71350639.25309925
4,"Foodstuffs",421,"Miscellaneous edible preparations",42104,"Soups and Broths",36363624.1450813
4,"Foodstuffs",421,"Miscellaneous edible preparations",42105,"Ice Cream",49275461.55690517
4,"Foodstuffs",421,"Miscellaneous edible preparations",42106,"Other Edible Preparations",406671508.62471896
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42201,"Water",30601030.862678953
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42202,"Flavored Water",221949099.89985645
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42203,"Beer",318076516.2503595
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42204,"Wine",30992176.37049409
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42205,"Vermouth",1509985.6666424912
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42206,"Other Fermented Beverages",2438216.5824926957
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42207,"Alcohol > 80% ABV",16030421.225446923
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42208,"Hard Liquor",91123768.20403233
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42209,"Vinegar",12015715.037346827
4,"Foodstuffs",423,"Food industries, residues and wastes thereof; prepared animal fodder",42301,"Animal Meal and Pellets",15748343.12481805
4,"Foodstuffs",423,"Food industries, residues and wastes thereof; prepared animal fodder",42302,"Bran",17551993.506729268
4,"Foodstuffs",423,"Food industries, residues and wastes thereof; prepared animal fodder",42303,"Starch Residue",16725463.61240212
4,"Foodstuffs",423,"Food industries, residues and wastes thereof; prepared animal fodder",42304,"Soybean Meal",3670486.5195124876
4,"Foodstuffs",423,"Food industries, residues and wastes thereof; prepared animal fodder",42306,"Other Vegetable Residues",113739278.48718067
4,"Foodstuffs",423,"Food industries, residues and wastes thereof; prepared animal fodder",42307,"Wine Lees",32101.2519985958
4,"Foodstuffs",423,"Food industries, residues and wastes thereof; prepared animal fodder",42308,"Other Vegetable Residues and Waste",2066243.8472646188
4,"Foodstuffs",423,"Food industries, residues and wastes thereof; prepared animal fodder",42309,"Animal Food",550213166.8927162
4,"Foodstuffs",424,"Tobacco and manufactured tobacco substitutes",42401,"Raw Tobacco",337695.236660711
4,"Foodstuffs",424,"Tobacco and manufactured tobacco substitutes",42402,"Rolled Tobacco",749201222.0390657
4,"Foodstuffs",424,"Tobacco and manufactured tobacco substitutes",42403,"Processed Tobacco",80853458.99262449
5,"Mineral Products",525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52501,"Salt",10176688.652439054
5,"Mineral Products",525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52502,"Iron Pyrites",21814.2012283634
5,"Mineral Products",525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52503,"Sulphur",765194.7864557538
5,"Mineral Products",525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52504,"Graphite",4746150.44801902
5,"Mineral Products",525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52505,"Sand",15174927.626984023
5,"Mineral Products",525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52506,"Quartz",7326901.535866928
5,"Mineral Products",525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52507,"Kaolin",69227805.9111688
5,"Mineral Products",525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52508,"Clays",40360324.17352869
5,"Mineral Products",525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52509,"Chalk",144242.06909430548
5,"Mineral Products",525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52510,"Calcium Phosphates",4281.55183087997
5,"Mineral Products",525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52511,"Barium Sulphate",169711.92075256666
5,"Mineral Products",525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52512,"Siliceous Fossil Meals",2841787.4947398
5,"Mineral Products",525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52513,"Pumice",726481.4376111305
5,"Mineral Products",525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52514,"Slate",390802.36358237255
5,"Mineral Products",525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52515,"Marble, Travertine and Alabaster",246718.68915445573
5,"Mineral Products",525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52516,"Granite",2097163.642786771
5,"Mineral Products",525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52517,"Gravel and Crushed Stone",20105570.05718988
5,"Mineral Products",525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52518,"Dolomite",139888.76337833377
5,"Mineral Products",525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52519,"Magnesium Carbonate",5135371.198743797
5,"Mineral Products",525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52520,"Gypsum",3792430.3748951955
5,"Mineral Products",525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52521,"Limestone",5311679.098755578
5,"Mineral Products",525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52522,"Quicklime",26820479.51101396
5,"Mineral Products",525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52523,"Cement",53252491.190800905
5,"Mineral Products",525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52525,"Mica",513191.10163693957
5,"Mineral Products",525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52526,"Soapstone",336992.70225789765
5,"Mineral Products",525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52529,"Feldspar",19157085.46152722
5,"Mineral Products",525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52530,"Other Mineral",2287901.257241699
5,"Mineral Products",526,"Ores, slag and ash",52601,"Iron Ore",1063322.5623739553
5,"Mineral Products",526,"Ores, slag and ash",52602,"Manganese Ore",36512.6550981101
5,"Mineral Products",526,"Ores, slag and ash",52603,"Copper Ore",1575.9999999999998
5,"Mineral Products",526,"Ores, slag and ash",52604,"Nickel Ore",3072
5,"Mineral Products",526,"Ores, slag and ash",52606,"Aluminium Ore",1585374.9560921993
5,"Mineral Products",526,"Ores, slag and ash",52608,"Zinc Ore",12495.4168128973
5,"Mineral Products",526,"Ores, slag and ash",52610,"Chromium Ore",312874.48843976425
5,"Mineral Products",526,"Ores, slag and ash",52613,"Molybdenum Ore",188695
5,"Mineral Products",526,"Ores, slag and ash",52614,"Titanium Ore",955430.5515350023
5,"Mineral Products",526,"Ores, slag and ash",52615,"Niobium, Tantalum, Vanadium and Zirconium Ore",17570.25116117556
5,"Mineral Products",526,"Ores, slag and ash",52616,"Precious Metal Ore",39139.22420320796
5,"Mineral Products",526,"Ores, slag and ash",52618,"Granulated Slag",8139402.316065494
5,"Mineral Products",526,"Ores, slag and ash",52619,"Slag Dross",844924.5623946667
5,"Mineral Products",526,"Ores, slag and ash",52620,"Non-Iron and Steel Slag, Ash and Residues",194863761.13382295
5,"Mineral Products",526,"Ores, slag and ash",52621,"Other Slag and Ash",8377906.097107192
