"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","Trade Value"
6,"Chemical Products",628,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",62845,"Other Isotopes",889655.7887518152
6,"Chemical Products",628,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",62846,"Rare-Earth Metal Compounds",4169505.5052966224
6,"Chemical Products",628,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",62847,"Hydrogen peroxide",6367950.6729551
6,"Chemical Products",628,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",62849,"Carbides",53057558.88419628
6,"Chemical Products",628,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",62850,"Hydrides and other anions",2176841.205595251
6,"Chemical Products",628,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",62851,"Inorganic Compounds",3004705.930962169
6,"Chemical Products",629,"Organic chemicals",62901,"Acyclic Hydrocarbons",100431640.75480953
6,"Chemical Products",629,"Organic chemicals",62902,"Cyclic Hydrocarbons",130122347.41731688
6,"Chemical Products",629,"Organic chemicals",62903,"Halogenated Hydrocarbons",114709581.82630508
6,"Chemical Products",629,"Organic chemicals",62904,"Sulfonated, Nitrated or Nitrosated Hydrocarbons",13855026.902757188
6,"Chemical Products",629,"Organic chemicals",62905,"Acyclic Alcohols",192368716.0710201
6,"Chemical Products",629,"Organic chemicals",62906,"Cyclic Alcohols",7498349.909865829
6,"Chemical Products",629,"Organic chemicals",62907,"Phenols",63126489.50643068
6,"Chemical Products",629,"Organic chemicals",62908,"Phenol Derivatives",2018140.8614891227
6,"Chemical Products",629,"Organic chemicals",62909,"Ethers",30108078.629713573
6,"Chemical Products",629,"Organic chemicals",62910,"Epoxides",4836940.194680897
6,"Chemical Products",629,"Organic chemicals",62911,"Acetals and Hemiacetals",636400.3773625568
6,"Chemical Products",629,"Organic chemicals",62912,"Aldehydes",6339566.170132014
6,"Chemical Products",629,"Organic chemicals",62913,"Aldehyde Derivatives",14503.39741651872
6,"Chemical Products",629,"Organic chemicals",62914,"Ketones and Quinones",57710369.149355784
6,"Chemical Products",629,"Organic chemicals",62915,"Saturated Acyclic Monocarboxylic Acids",33127981.025110994
6,"Chemical Products",629,"Organic chemicals",62916,"Unsaturated Acyclic Monocarboxylic Acids",20197557.02660466
6,"Chemical Products",629,"Organic chemicals",62917,"Polycarboxylic Acids",43166575.208353885
6,"Chemical Products",629,"Organic chemicals",62918,"Carboxylic Acids",79201512.35236803
6,"Chemical Products",629,"Organic chemicals",62919,"Phosphoric Esters and Salts",2255128.141821009
6,"Chemical Products",629,"Organic chemicals",62920,"Other Esters",7730145.031463046
6,"Chemical Products",629,"Organic chemicals",62921,"Amine Compounds",39421861.89937667
6,"Chemical Products",629,"Organic chemicals",62922,"Oxygen Amino Compounds",47564811.729026
6,"Chemical Products",629,"Organic chemicals",62923,"Quaternary Ammonium Salts and Hydroxides",41532633.87408737
6,"Chemical Products",629,"Organic chemicals",62924,"Carboxyamide Compounds",21489166.8451045
6,"Chemical Products",629,"Organic chemicals",62925,"Carboxyimide Compounds",10717594.659475852
6,"Chemical Products",629,"Organic chemicals",62926,"Nitrile Compounds",4139193.4239227413
6,"Chemical Products",629,"Organic chemicals",62927,"Diazo, Azo or Aoxy Compounds",452139.0587019552
6,"Chemical Products",629,"Organic chemicals",62928,"Hydrazine or Hydroxylamine Derivatives",2439114.0456373957
6,"Chemical Products",629,"Organic chemicals",62929,"Other Nitrogen Compounds",34404376.151132904
6,"Chemical Products",629,"Organic chemicals",62930,"Organo-Sulfur Compounds",21816846.21821561
6,"Chemical Products",629,"Organic chemicals",62931,"Other Organo-Inorganic Compounds",16804613.89855572
6,"Chemical Products",629,"Organic chemicals",62932,"Oxygen Heterocyclic Compounds",42522839.80459942
6,"Chemical Products",629,"Organic chemicals",62933,"Nitrogen Heterocyclic Compounds",79390127.50967625
6,"Chemical Products",629,"Organic chemicals",62934,"Nucleic Acids",29043973.377714235
6,"Chemical Products",629,"Organic chemicals",62935,"Sulfonamides",10836110.980311194
6,"Chemical Products",629,"Organic chemicals",62936,"Vitamins",33052957.401141442
